Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
367367,"Myth Conceptions (Myth Adventures, #2)",Robert Lynn Asprin,"Asprin, Robert Lynn",,"=""0441013627""","=""9780441013623""",4,4.09,Ace Books,Paperback,201,2005,1980,2012/12/30,2012/12/29,,,read,,,,1,0
64401,"Another Fine Myth (Myth Adventures, #1)",Robert Lynn Asprin,"Asprin, Robert Lynn",,"=""0441013465""","=""9780441013463""",4,4.04,Ace,Mass Market Paperback,208,2005,1978,2012/12/29,2012/12/12,,,read,,,,1,0
242006,Running with Scissors,Augusten Burroughs,"Burroughs, Augusten",,"=""031242227X""","=""9780312422271""",4,3.77,Picador USA,Paperback,336,2003,2002,,2012/12/12,,,read,,,,1,0
219205,"Lord Foul's Bane (The Chronicles of Thomas Covenant the Unbeliever, #1)",Stephen R. Donaldson,"Donaldson, Stephen R.",,"=""0345348656""","=""9780345348654""",1,3.72,Del Rey / Ballantine,Mass Market Paperback,480,1989,1977,,2011/07/05,abandoned,abandoned (#6),abandoned,,,,0,0
7108001,"Abraham Lincoln: Vampire Hunter (Abraham Lincoln: Vampire Hunter, #1)",Seth Grahame-Smith,"Grahame-Smith, Seth",,"=""0446563080""","=""9780446563086""",1,3.71,Grand Central Publishing,Hardcover,336,2010,2010,,2012/06/28,abandoned,abandoned (#5),abandoned,,,,0,0
32085,"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot,"Herriot, James",,"=""0312965788""","=""9780312965785""",4,4.35,St. Martin's Paperbacks,Mass Market Paperback,437,1998,1972,,2011/02/07,,,read,,,,1,0
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",5,4.42,Random House Worlds,Paperback,1009,2002,1998,,2012/12/10,,,read,,,,1,0
454856,Look Me in the Eye,John Elder Robison,"Robison, John Elder",,"=""0307395987""","=""9780307395986""",4,3.92,Crown,Hardcover,288,2007,2007,2012/12/10,2012/12/07,,,read,,,,1,0
76171,We,Yevgeny Zamyatin,"Zamyatin, Yevgeny",Clarence Brown,"=""0140185852""","=""9780140185850""",4,3.88,Penguin Books,Paperback,256,1993,1924,,2011/12/22,,,read,,,,1,0
64216,"Guards! Guards! (Discworld, #8; City Watch, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0061020648""","=""9780061020643""",5,4.34,HarperTorch,Mass Market Paperback,376,2001,1989,2012/09/17,2012/06/28,,,read,,,,1,0
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",5,4.45,Bantam,Mass Market Paperback,835,2005,1996,,2011/09/02,,,read,,,,1,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",3,3.70,Penguin Books ,Paperback,182,1999,1954,2012/06/27,2012/06/16,,,read,,,,1,0
64217,"Pyramids (Discworld, #7)",Terry Pratchett,"Pratchett, Terry",,"=""0061020656""","=""9780061020650""",4,3.92,Harper,Paperback,341,2008,1989,2012/06/16,2012/06/16,,,read,,,,1,0
34504,"Wyrd Sisters (Discworld, #6; Witches, #2)",Terry Pratchett,"Pratchett, Terry",,"=""0061020664""","=""9780061020667""",4,4.16,HarTorch,Mass Market Paperback,265,2001,1988,2012/06/07,2012/05/17,,,read,,,,1,0
16690,The Moon Is a Harsh Mistress,Robert A. Heinlein,"Heinlein, Robert A.",,"=""0340837942""","=""9780340837948""",3,4.15,Hodder & Stoughton,Paperback,288,2005,1966,2012/05/27,2012/03/14,,,read,,,,1,0
34499,"Sourcery (Discworld, #5; Rincewind, #3)",Terry Pratchett,"Pratchett, Terry",,"=""0061020672""","=""9780061020674""",3,3.91,Harper,Mass Market Paperback,276,2008,1988,,2012/05/20,,,read,,,,1,0
